trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm
modelO-pin-noStopper_rotateRight_down-left,-1.198,-0.28,28.444499999999998,1.065,0.607,15
modelO-pin-noStopper_rotateRight_left,-0.74,0.018,13.302,-0.74,0.0,15
modelO-pin-noStopper_rotateRight_up-left,-0.267,0.08,3.5225,0.431,0.246,15
modelO-pin-stopper_noRotate_up,0.035,0.32,0.5845,0.0,0.32,0
modelO-pin-stopper_noRotate_up-right,0.277,0.124,2.386,0.278,0.158,0
modelO-pin-stopper_noRotate_right,0.574,0.013,11.961,0.574,0.0,0
modelO-pin-stopper_noRotate_down-right,0.896,-0.261,19.0445,0.894,0.509,0
modelO-pin-stopper_noRotate_down,-0.028,-0.245,1.193,0.0,-0.245,0
modelO-pin-stopper_noRotate_down-left,-0.865,-0.192,21.449499999999997,0.894,0.509,0
modelO-pin-stopper_noRotate_left,-0.71,-0.017,10.099,-0.71,0.0,0
modelO-pin-stopper_noRotate_up-left,-0.253,0.187,0.6095,0.352,0.201,0
modelO-pin-stopper_noRotate_rotate-clockwise,0.035,0.037,9.635,0.0,0.0,9.635
modelO-pin-stopper_noRotate_rotate-counterClockwise,0.013,-0.149,17.646,0.0,0.0,17.646
modelO-pin-stopper_rotateLeft_up,0.05,0.083,1.169,0.0,0.083,15
modelO-pin-stopper_rotateLeft_up-right,0.284,0.121,2.938,0.305,0.174,15
modelO-pin-stopper_rotateLeft_right,0.668,-0.049,8.8995,0.668,0.0,15
modelO-pin-stopper_rotateLeft_down-right,0.945,-0.287,24.768,1.023,0.582,15
modelO-pin-stopper_rotateLeft_down,-0.006,-0.16,2.9415,0.0,-0.16,15
modelO-pin-stopper_rotateLeft_down-left,-1.252,-0.109,41.304500000000004,1.082,0.616,15
modelO-pin-stopper_rotateLeft_left,-0.679,-0.043,12.4125,-0.679,0.0,15
modelO-pin-stopper_rotateLeft_up-left,-0.159,0.116,1.7515,0.265,0.151,15
modelO-pin-stopper_rotateRight_up,0.018,0.139,3.0935,0.0,0.139,15
modelO-pin-stopper_rotateRight_up-right,0.22,0.143,0.5845,0.277,0.158,15
modelO-pin-stopper_rotateRight_right,0.821,0.007,9.6225,0.821,0.0,15
modelO-pin-stopper_rotateRight_down-right,1.245,-0.189,36.738,1.214,0.691,15
