trial,span,depth,theta,ideal-span,ideal-depth,ideal-theta,magnitude
modelO-rubber_2_noRotate_rotate-counterClockwise,-0.141,0.042,31.805,0.0,0.0,31.805,0.147
modelO-rubber_1_rotateLeft_up,-0.026,0.261,1.169,0.0,0.261,15,0.262
modelO-rubber_2_rotateLeft_up,-0.018,0.158,1.27,0.0,0.158,15,0.159
modelO-rubber_1_rotateLeft_up-right,0.196,0.14,1.169,0.254,0.145,15,0.241
modelO-rubber_2_rotateLeft_up-right,0.386,0.214,0.0,0.388,0.221,15,0.441
modelO-rubber_1_rotateLeft_right,0.607,0.171,0.04,0.607,0.0,15,0.631
modelO-rubber_2_rotateLeft_right,0.852,-0.011,10.84,0.852,0.0,15,0.852
modelO-rubber_1_rotateLeft_down-right,1.221,-0.239,32.916,1.065,0.606,15,1.244
modelO-rubber_2_rotateLeft_down-right,1.37,-0.01,36.87,1.175,0.669,15,1.37
modelO-rubber_1_rotateLeft_down,-0.004,-0.416,6.995,0.0,-0.416,15,0.416
modelO-rubber_2_rotateLeft_down,-0.028,-0.362,4.574,0.0,-0.362,15,0.363
modelO-rubber_1_rotateLeft_down-left,-1.314,-0.08,38.882,1.126,0.641,15,1.316
modelO-rubber_2_rotateLeft_down-left,-1.105,-0.191,28.142,1.119,0.637,15,1.121
modelO-rubber_1_rotateLeft_left,-0.672,-0.005,11.483,-0.672,0.0,15,0.672
modelO-rubber_2_rotateLeft_left,-0.859,-0.111,9.511,-0.859,0.0,15,0.866
modelO-rubber_1_rotateLeft_up-left,-0.217,0.029,1.219,0.25,0.142,15,0.219
modelO-rubber_2_rotateLeft_up-left,-0.32,0.081,8.454,0.349,0.199,15,0.33
modelO-rubber_1_rotateRight_up,-0.036,0.146,1.27,0.0,0.146,15,0.15
modelO-rubber_2_rotateRight_up,0.01,0.273,2.438,0.0,0.273,15,0.273
modelO-rubber_1_rotateRight_up-right,0.128,0.134,1.219,0.346,0.197,15,0.185
modelO-rubber_2_rotateRight_up-right,0.195,0.226,4.673,0.298,0.17,15,0.298
modelO-rubber_1_rotateRight_right,0.593,0.121,1.169,0.593,0.0,15,0.605
modelO-rubber_2_rotateRight_right,0.812,-0.018,10.408,0.812,0.0,15,0.812
modelO-rubber_1_rotateRight_down-right,1.187,-0.145,33.366,1.047,0.596,15,1.196
modelO-rubber_2_rotateRight_down-right,0.94,-0.275,44.395,0.84,0.478,15,0.979
modelO-rubber_1_rotateRight_down,0.012,-0.273,1.167,0.0,-0.273,15,0.273
modelO-rubber_2_rotateRight_down,-0.143,-0.525,9.189,0.0,-0.525,15,0.544
modelO-rubber_1_rotateRight_down-left,-1.385,-0.084,41.024,1.188,0.676,15,1.388
modelO-rubber_2_rotateRight_down-left,-1.36,-0.077,45.0,1.169,0.666,15,1.362
modelO-rubber_1_rotateRight_left,-0.833,0.122,9.462,-0.833,0.0,15,0.842
modelO-rubber_2_rotateRight_left,-0.776,-0.094,14.242,-0.776,0.0,15,0.782
modelO-rubber_1_rotateRight_up-left,-0.3,0.209,8.471,0.322,0.183,15,0.366
modelO-rubber_2_rotateRight_up-left,-0.308,0.248,14.432,0.348,0.198,15,0.395
modelO-pin-noStopper_1_noRotate_up,0.044,0.349,1.169,0.0,0.349,0,0.352
modelO-pin-noStopper_2_noRotate_up,-0.015,0.261,4.764,0.0,0.261,0,0.261
modelO-pin-noStopper_1_noRotate_up-right,0.187,0.197,1.169,0.242,0.138,0,0.272
modelO-pin-noStopper_2_noRotate_up-right,0.379,0.149,2.386,0.395,0.225,0,0.407
modelO-pin-noStopper_1_noRotate_right,0.52,-0.032,0.0,0.52,0.0,0,0.521
modelO-pin-noStopper_2_noRotate_right,0.778,0.124,0.0,0.778,0.0,0,0.788
