trial,span,depth,theta,ideal-span,ideal-depth,ideal-theta,magnitude
2link-v-2link_1_rotateLeft_left,-0.429,-0.139,29.265,-0.429,0.0,15,0.451
2link-v-2link_2_rotateLeft_left,-0.427,0.24,31.002,-0.427,0.0,15,0.49
2link-v-2link_1_rotateLeft_up-left,-0.262,0.287,11.529,0.369,0.192,15,0.389
2link-v-2link_2_rotateLeft_up-left,-0.212,0.231,1.076,0.339,0.176,15,0.314
2link-v-2link_1_rotateRight_up,-0.043,0.193,8.939,0.0,0.193,15,0.198
2link-v-2link_2_rotateRight_up,-0.03,0.153,4.49,0.0,0.153,15,0.156
2link-v-2link_1_rotateRight_up-right,0.215,0.213,7.967,0.339,0.176,15,0.303
2link-v-2link_2_rotateRight_up-right,0.157,0.173,13.735,0.223,0.116,15,0.234
2link-v-2link_1_rotateRight_right,0.71,-0.276,19.885,0.71,0.0,15,0.762
2link-v-2link_2_rotateRight_right,0.378,0.197,28.61,0.378,0.0,15,0.426
2link-v-2link_1_rotateRight_down-right,0.297,-0.142,2.243,0.291,0.151,15,0.329
2link-v-2link_2_rotateRight_down-right,0.326,-0.198,5.719,0.355,0.184,15,0.381
2link-v-2link_1_rotateRight_down,0.043,-0.116,9.284,0.0,-0.116,15,0.124
2link-v-2link_2_rotateRight_down,-0.006,-0.18,2.243,0.0,-0.18,15,0.18
2link-v-2link_1_rotateRight_down-left,-0.433,-0.227,15.137,0.464,0.241,15,0.489
2link-v-2link_2_rotateRight_down-left,-0.321,-0.199,13.735,0.34,0.177,15,0.378
2link-v-2link_1_rotateRight_left,-0.527,0.091,9.284,-0.527,0.0,15,0.535
2link-v-2link_2_rotateRight_left,-0.523,-0.158,11.529,-0.523,0.0,15,0.546
2link-v-2link_1_rotateRight_up-left,-0.355,0.194,0.0,0.362,0.188,15,0.405
2link-v-2link_2_rotateRight_up-left,-0.331,0.304,3.309,0.418,0.217,15,0.449
2link-v-3link_1_noRotate_up,-0.023,0.365,2.243,0.0,0.365,0,0.366
2link-v-3link_2_noRotate_up,0.027,0.361,1.123,0.0,0.361,0,0.362
2link-v-3link_1_noRotate_up-right,0.3,0.28,4.476,0.382,0.198,0,0.41
2link-v-3link_2_noRotate_up-right,0.374,0.315,7.967,0.46,0.239,0,0.489
2link-v-3link_1_noRotate_right,0.721,-0.133,11.529,0.721,0.0,0,0.733
2link-v-3link_2_noRotate_right,0.92,-0.301,30.636,0.92,0.0,0,0.968
2link-v-3link_1_noRotate_down-right,1.262,-0.431,59.099,1.166,0.606,0,1.334
2link-v-3link_2_noRotate_down-right,0.395,-0.128,2.243,0.385,0.2,0,0.415
2link-v-3link_1_noRotate_down,0.059,-0.184,13.735,0.0,-0.184,0,0.193
2link-v-3link_2_noRotate_down,0.118,-0.29,16.519,0.0,-0.29,0,0.313
2link-v-3link_1_noRotate_down-left,-0.188,-0.36,21.371,0.526,0.273,0,0.406
2link-v-3link_2_noRotate_down-left,-0.142,-0.466,31.297,0.49,0.255,0,0.487
2link-v-3link_1_noRotate_left,-0.801,-0.309,18.762,-0.801,0.0,0,0.859
2link-v-3link_2_noRotate_left,-0.492,0.025,3.414,-0.492,0.0,0,0.493
2link-v-3link_1_noRotate_up-left,-0.369,0.277,1.123,0.427,0.222,0,0.461
2link-v-3link_2_noRotate_up-left,-0.375,0.333,9.133,0.488,0.254,0,0.502
2link-v-3link_1_noRotate_rotate-clockwise,0.059,-0.014,30.636,0.0,0.0,30.636,0.061
2link-v-3link_2_noRotate_rotate-clockwise,0.035,0.0,31.002,0.0,0.0,31.002,0.035
2link-v-3link_1_noRotate_rotate-counterClockwise,-0.024,-0.052,24.622,0.0,0.0,24.622,0.057
2link-v-3link_2_noRotate_rotate-counterClockwise,-0.117,-0.119,20.709,0.0,0.0,20.709,0.167
2link-v-3link_1_rotateLeft_up,0.051,0.181,13.601,0.0,0.181,15,0.188
2link-v-3link_2_rotateLeft_up,0.002,0.172,1.167,0.0,0.172,15,0.172
2link-v-3link_1_rotateLeft_up-right,0.172,0.147,7.815,0.279,0.145,15,0.226
2link-v-3link_2_rotateLeft_up-right,0.304,0.226,3.414,0.349,0.181,15,0.379
2link-v-3link_1_rotateLeft_right,0.389,0.13,15.982,0.389,0.0,15,0.41
2link-v-3link_2_rotateLeft_right,0.422,0.097,10.214,0.422,0.0,15,0.433
2link-v-3link_1_rotateLeft_down-right,1.094,-0.196,50.396,1.089,0.565,15,1.111
2link-v-3link_2_rotateLeft_down-right,0.242,-0.133,2.247,0.252,0.131,15,0.276
2link-v-3link_1_rotateLeft_down,0.106,-0.146,14.859,0.0,-0.146,15,0.18
2link-v-3link_2_rotateLeft_down,-0.045,-0.013,11.381,0.0,-0.013,15,0.047
2link-v-3link_1_rotateLeft_down-left,-0.421,-0.012,10.408,0.411,0.213,15,0.421
2link-v-3link_2_rotateLeft_down-left,-0.201,-0.003,11.531,0.279,0.145,15,0.201
2link-v-3link_1_rotateLeft_left,-0.433,-0.312,34.416,-0.433,0.0,15,0.534
2link-v-3link_2_rotateLeft_left,-0.273,-0.136,18.762,-0.273,0.0,15,0.305
2link-v-3link_1_rotateLeft_up-left,-0.197,0.247,15.982,0.305,0.159,15,0.316
2link-v-3link_2_rotateLeft_up-left,-0.261,0.292,6.888,0.419,0.218,15,0.392
2link-v-3link_1_rotateRight_up,-0.007,0.322,1.167,0.0,0.322,15,0.322
2link-v-3link_2_rotateRight_up,-0.046,0.165,5.724,0.0,0.165,15,0.171
2link-v-3link_1_rotateRight_up-right,0.17,0.203,12.913,0.267,0.138,15,0.265
2link-v-3link_2_rotateRight_up-right,0.261,0.282,12.433,0.375,0.195,15,0.384
2link-v-3link_1_rotateRight_right,0.724,-0.212,18.762,0.724,0.0,15,0.754
2link-v-3link_2_rotateRight_right,0.69,-0.267,27.072,0.69,0.0,15,0.74
2link-v-3link_1_rotateRight_down-right,1.183,-0.305,48.64,1.055,0.548,15,1.222
2link-v-3link_2_rotateRight_down-right,0.156,-0.068,19.558,0.162,0.084,15,0.17
2link-v-3link_1_rotateRight_down,0.049,-0.115,13.97,0.0,-0.115,15,0.125
2link-v-3link_2_rotateRight_down,0.103,-0.181,26.683,0.0,-0.181,15,0.208
2link-v-3link_1_rotateRight_down-left,-0.182,-0.235,18.762,0.285,0.148,15,0.297
2link-v-3link_2_rotateRight_down-left,-0.032,-0.385,49.394,0.509,0.264,15,0.386
2link-v-3link_1_rotateRight_left,-0.598,0.163,9.284,-0.598,0.0,15,0.62
2link-v-3link_2_rotateRight_left,-0.384,-0.183,14.859,-0.384,0.0,15,0.425
2link-v-3link_1_rotateRight_up-left,-0.309,0.193,3.451,0.33,0.171,15,0.364
2link-v-3link_2_rotateRight_up-left,-0.159,0.103,10.187,0.174,0.09,15,0.189
3link-v-3link_1_noRotate_up,-0.064,0.43,3.451,0.0,0.43,0,0.435
3link-v-3link_2_noRotate_up,0.024,0.391,1.076,0.0,0.391,0,0.392
3link-v-3link_1_noRotate_up-right,0.25,0.269,4.476,0.351,0.182,0,0.367
3link-v-3link_2_noRotate_up-right,0.337,0.295,9.09,0.533,0.277,0,0.448
3link-v-3link_1_noRotate_right,0.85,-0.008,4.49,0.85,0.0,0,0.85
3link-v-3link_2_noRotate_right,0.989,-0.332,28.759,0.989,0.0,0,1.043
3link-v-3link_1_noRotate_down-right,1.036,-0.49,64.051,1.159,0.602,0,1.146
3link-v-3link_2_noRotate_down-right,1.028,-0.553,63.317,1.163,0.604,0,1.167
3link-v-3link_1_noRotate_down,-0.024,-0.197,0.0,0.0,-0.197,0,0.198
3link-v-3link_2_noRotate_down,0.038,-0.223,3.476,0.0,-0.223,0,0.226
3link-v-3link_1_noRotate_down-left,-1.031,-0.34,48.64,1.096,0.569,0,1.086
3link-v-3link_2_noRotate_down-left,-1.173,-0.493,55.851,1.133,0.588,0,1.272
3link-v-3link_1_noRotate_left,-0.922,-0.158,13.776,-0.922,0.0,0,0.935
3link-v-3link_2_noRotate_left,-1.104,-0.257,27.487,-1.104,0.0,0,1.134
3link-v-3link_1_noRotate_up-left,-0.425,0.313,4.49,0.489,0.254,0,0.528
3link-v-3link_2_noRotate_up-left,-0.38,0.265,1.079,0.442,0.229,0,0.463
3link-v-3link_1_noRotate_rotate-clockwise,-0.051,0.014,24.076,0.0,0.0,24.076,0.053
3link-v-3link_2_noRotate_rotate-clockwise,0.033,0.053,31.906,0.0,0.0,31.906,0.062
3link-v-3link_1_noRotate_rotate-counterClockwise,-0.043,-0.032,24.781,0.0,0.0,24.781,0.054
3link-v-3link_2_noRotate_rotate-counterClockwise,-0.049,-0.029,22.011,0.0,0.0,22.011,0.057
3link-v-3link_1_rotateLeft_up,0.028,0.17,14.859,0.0,0.17,15,0.172
3link-v-3link_2_rotateLeft_up,0.089,0.235,152.513,0.0,0.235,15,0.251
3link-v-3link_1_rotateLeft_up-right,0.249,0.077,10.214,0.237,0.123,15,0.261
3link-v-3link_2_rotateLeft_up-right,0.257,0.106,4.49,0.295,0.153,15,0.278
3link-v-3link_1_rotateLeft_right,0.418,0.088,10.214,0.418,0.0,15,0.427
3link-v-3link_2_rotateLeft_right,0.627,-0.133,6.723,0.627,0.0,15,0.641
3link-v-3link_1_rotateLeft_down-right,1.225,-0.343,57.875,1.099,0.571,15,1.272
3link-v-3link_2_rotateLeft_down-right,0.344,-0.2,11.182,0.356,0.185,15,0.398
3link-v-3link_1_rotateLeft_down,-0.104,-0.143,19.558,0.0,-0.143,15,0.177
3link-v-3link_2_rotateLeft_down,-0.002,-0.193,8.939,0.0,-0.193,15,0.193
3link-v-3link_1_rotateLeft_down-left,-1.287,-0.282,42.853,1.132,0.588,15,1.318
3link-v-3link_2_rotateLeft_down-left,-1.15,-0.381,53.13,1.083,0.562,15,1.211
3link-v-3link_1_rotateLeft_left,-0.864,-0.256,18.435,-0.864,0.0,15,0.901
3link-v-3link_2_rotateLeft_left,-0.956,0.402,31.399,-0.956,0.0,15,1.037
3link-v-3link_1_rotateLeft_up-left,-0.254,0.258,12.433,0.385,0.2,15,0.362
3link-v-3link_2_rotateLeft_up-left,-0.234,0.242,7.815,0.419,0.217,15,0.337
3link-v-3link_1_rotateRight_up,-0.086,0.174,15.137,0.0,0.174,15,0.194
3link-v-3link_2_rotateRight_up,0.054,0.16,13.496,0.0,0.16,15,0.169
3link-v-3link_1_rotateRight_up-right,0.152,0.245,21.008,0.28,0.145,15,0.288
3link-v-3link_2_rotateRight_up-right,0.185,0.232,13.735,0.285,0.148,15,0.297
3link-v-3link_1_rotateRight_right,0.674,-0.288,27.487,0.674,0.0,15,0.733
3link-v-3link_2_rotateRight_right,0.651,0.271,31.297,0.651,0.0,15,0.705
3link-v-3link_1_rotateRight_down-right,1.145,-0.39,52.243,1.086,0.564,15,1.21
3link-v-3link_2_rotateRight_down-right,1.154,-0.451,58.703,1.111,0.577,15,1.239
3link-v-3link_1_rotateRight_down,-0.126,-0.15,17.384,0.0,-0.15,15,0.196
3link-v-3link_2_rotateRight_down,-0.044,-0.197,24.622,0.0,-0.197,15,0.202
3link-v-3link_1_rotateRight_down-left,-0.986,-0.365,47.147,1.091,0.566,15,1.051
3link-v-3link_2_rotateRight_down-left,-0.264,-0.379,30.813,0.505,0.262,15,0.462
3link-v-3link_1_rotateRight_left,-0.664,0.123,7.007,-0.664,0.0,15,0.675
3link-v-3link_2_rotateRight_left,-0.558,-0.231,12.653,-0.558,0.0,15,0.604
3link-v-3link_1_rotateRight_up-left,-0.276,0.232,3.451,0.385,0.2,15,0.361
3link-v-3link_2_rotateRight_up-left,-0.191,0.156,7.89,0.24,0.125,15,0.247
