trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm
modelO-rubber_2_noRotate_down-right,0.955,-0.056,26.461,0.848,0.483,0
modelO-rubber_1_noRotate_down,0.025,-0.519,0.04,0,-0.519,0
modelO-rubber_2_noRotate_down,-0.07,-0.344,0.04,0,-0.344,0
modelO-rubber_1_noRotate_down-left,-1.279,-0.104,39.067,1.093,0.622,0
modelO-rubber_2_noRotate_down-left,-1.355,-0.073,43.831,1.155,0.658,0
modelO-rubber_1_noRotate_left,-0.98,-0.009,11.768,-0.98,0,0
modelO-rubber_2_noRotate_left,-0.722,0.14,11.768,-0.722,0,0
modelO-rubber_1_noRotate_up-left,-0.338,0.169,0.02,0.707,0.402,0
modelO-rubber_2_noRotate_up-left,-0.354,0.156,10.408,0.471,0.268,0
modelO-rubber_1_noRotate_rotate-clockwise,0.096,0.169,26.565,0,0,26.565
modelO-rubber_2_noRotate_rotate-clockwise,-0.186,-0.043,24.811,0,0,24.811
modelO-rubber_1_noRotate_rotate-counterClockwise,0.008,-0.03,25.017,0,0,25.017
modelO-rubber_2_noRotate_rotate-counterClockwise,-0.141,0.042,31.805,0,0,31.805
modelO-rubber_1_rotateLeft_up,-0.026,0.261,1.169,0,0.261,15
modelO-rubber_2_rotateLeft_up,-0.018,0.158,1.27,0,0.158,15
modelO-rubber_1_rotateLeft_up-right,0.196,0.14,1.169,0.254,0.145,15
modelO-rubber_2_rotateLeft_up-right,0.386,0.214,0,0.388,0.221,15
modelO-rubber_1_rotateLeft_right,0.607,0.171,0.04,0.607,0,15
modelO-rubber_2_rotateLeft_right,0.852,-0.011,10.84,0.852,0,15
modelO-rubber_1_rotateLeft_down-right,1.221,-0.239,32.916,1.065,0.606,15
modelO-rubber_2_rotateLeft_down-right,1.37,-0.01,36.87,1.175,0.669,15
modelO-rubber_1_rotateLeft_down,-0.004,-0.416,6.995,0,-0.416,15
modelO-rubber_2_rotateLeft_down,-0.028,-0.362,4.574,0,-0.362,15
modelO-rubber_1_rotateLeft_down-left,-1.314,-0.08,38.882,1.126,0.641,15
modelO-rubber_2_rotateLeft_down-left,-1.105,-0.191,28.142,1.119,0.637,15
modelO-rubber_1_rotateLeft_left,-0.672,-0.005,11.483,-0.672,0,15
modelO-rubber_2_rotateLeft_left,-0.859,-0.111,9.511,-0.859,0,15
modelO-rubber_1_rotateLeft_up-left,-0.217,0.029,1.219,0.25,0.142,15
modelO-rubber_2_rotateLeft_up-left,-0.32,0.081,8.454,0.349,0.199,15
modelO-rubber_1_rotateRight_up,-0.036,0.146,1.27,0,0.146,15
modelO-rubber_2_rotateRight_up,0.01,0.273,2.438,0,0.273,15
modelO-rubber_1_rotateRight_up-right,0.128,0.134,1.219,0.346,0.197,15
modelO-rubber_2_rotateRight_up-right,0.195,0.226,4.673,0.298,0.17,15
modelO-rubber_1_rotateRight_right,0.593,0.121,1.169,0.593,0,15
modelO-rubber_2_rotateRight_right,0.812,-0.018,10.408,0.812,0,15
modelO-rubber_1_rotateRight_down-right,1.187,-0.145,33.366,1.047,0.596,15
modelO-rubber_2_rotateRight_down-right,0.94,-0.275,44.395,0.84,0.478,15
modelO-rubber_1_rotateRight_down,0.012,-0.273,1.167,0,-0.273,15
modelO-rubber_2_rotateRight_down,-0.143,-0.525,9.189,0,-0.525,15
modelO-rubber_1_rotateRight_down-left,-1.385,-0.084,41.024,1.188,0.676,15
modelO-rubber_2_rotateRight_down-left,-1.36,-0.077,45,1.169,0.666,15
modelO-rubber_1_rotateRight_left,-0.833,0.122,9.462,-0.833,0,15
modelO-rubber_2_rotateRight_left,-0.776,-0.094,14.242,-0.776,0,15
modelO-rubber_1_rotateRight_up-left,-0.3,0.209,8.471,0.322,0.183,15
modelO-rubber_2_rotateRight_up-left,-0.308,0.248,14.432,0.348,0.198,15
modelO-pin-noStopper_1_noRotate_up,0.044,0.349,1.169,0,0.349,0
modelO-pin-noStopper_2_noRotate_up,-0.015,0.261,4.764,0,0.261,0
modelO-pin-noStopper_1_noRotate_up-right,0.187,0.197,1.169,0.242,0.138,0
modelO-pin-noStopper_2_noRotate_up-right,0.379,0.149,2.386,0.395,0.225,0
modelO-pin-noStopper_1_noRotate_right,0.52,-0.032,0,0.52,0,0
modelO-pin-noStopper_2_noRotate_right,0.778,0.124,0,0.778,0,0
modelO-pin-noStopper_1_noRotate_down-right,0.658,-0.391,0,0.748,0.426,0
modelO-pin-noStopper_2_noRotate_down-right,1.187,-0.179,34.992,1.025,0.583,0
modelO-pin-noStopper_1_noRotate_down,0.007,-0.309,1.169,0,-0.309,0
modelO-pin-noStopper_2_noRotate_down,0.017,-0.303,1.169,0,-0.303,0
modelO-pin-noStopper_1_noRotate_down-left,-0.781,-0.402,5.826,0.763,0.435,0
modelO-pin-noStopper_2_noRotate_down-left,-1.468,-0.203,53.839,1.263,0.719,0
modelO-pin-noStopper_1_noRotate_left,-0.615,-0.116,1.123,-0.615,0,0
modelO-pin-noStopper_2_noRotate_left,-0.641,-0.051,13.434,-0.641,0,0
modelO-pin-noStopper_1_noRotate_up-left,-0.155,0.086,3.46,0.209,0.119,0
modelO-pin-noStopper_2_noRotate_up-left,-0.318,0.275,11.768,0.39,0.222,0
modelO-pin-noStopper_1_noRotate_rotate-clockwise,0.098,-0.058,19.604,0,0,19.604
modelO-pin-noStopper_2_noRotate_rotate-clockwise,0.018,-0.038,26.67,0,0,26.67
modelO-pin-noStopper_1_noRotate_rotate-counterClockwise,-0.035,0.057,26.764,0,0,26.764
modelO-pin-noStopper_2_noRotate_rotate-counterClockwise,0.154,0.078,14.292,0,0,14.292
modelO-pin-noStopper_1_rotateLeft_up,0.015,0.205,1.219,0,0.205,15
modelO-pin-noStopper_2_rotateLeft_up,-0.013,0.14,1.219,0,0.14,15
modelO-pin-noStopper_1_rotateLeft_up-right,0.225,0.209,11.768,0.299,0.17,15
modelO-pin-noStopper_2_rotateLeft_up-right,0.282,0.153,1.169,0.413,0.235,15
modelO-pin-noStopper_1_rotateLeft_right,0.573,0.153,10.84,0.573,0,15
modelO-pin-noStopper_2_rotateLeft_right,0.755,-0.089,4.677,0.755,0,15
modelO-pin-noStopper_1_rotateLeft_down-right,1.117,-0.12,35.215,1.073,0.611,15
modelO-pin-noStopper_2_rotateLeft_down-right,1.056,-0.109,33.024,1.142,0.65,15
modelO-pin-noStopper_1_rotateLeft_down,-0.024,-0.247,0,0,-0.247,15
modelO-pin-noStopper_2_rotateLeft_down,-0.013,-0.093,0.02,0,-0.093,15
modelO-pin-noStopper_1_rotateLeft_down-left,-1.071,-0.145,33.69,0.951,0.542,15
modelO-pin-noStopper_2_rotateLeft_down-left,-1.243,-0.207,56.31,1.103,0.628,15
modelO-pin-noStopper_1_rotateLeft_left,-0.397,0.038,7.125,-0.397,0,15
modelO-pin-noStopper_2_rotateLeft_left,-0.598,-0.06,12.479,-0.598,0,15
modelO-pin-noStopper_1_rotateLeft_up-left,-0.096,0.218,2.338,0.219,0.124,15
modelO-pin-noStopper_2_rotateLeft_up-left,-0.227,0.125,1.169,0.229,0.131,15
modelO-pin-noStopper_1_rotateRight_up,-0.011,0.16,1.169,0,0.16,15
modelO-pin-noStopper_2_rotateRight_up,0.041,0.193,2.338,0,0.193,15
modelO-pin-noStopper_1_rotateRight_up-right,0.171,0.129,1.169,0.198,0.113,15
modelO-pin-noStopper_2_rotateRight_up-right,0.395,0.228,0,0.398,0.226,15
modelO-pin-noStopper_1_rotateRight_right,0.578,0.032,2.386,0.578,0,15
modelO-pin-noStopper_2_rotateRight_right,0.835,-0.095,12.235,0.835,0,15
modelO-pin-noStopper_1_rotateRight_down-right,1.081,-0.016,34.992,1.078,0.614,15
modelO-pin-noStopper_2_rotateRight_down-right,1.361,-0.222,31.192,1.188,0.676,15
modelO-pin-noStopper_1_rotateRight_down,-0.007,-0.056,3.652,0,-0.056,15
modelO-pin-noStopper_2_rotateRight_down,-0.063,-0.21,1.169,0,-0.21,15
modelO-pin-noStopper_1_rotateRight_down-left,-1.236,-0.264,33.998,1.081,0.616,15
modelO-pin-noStopper_2_rotateRight_down-left,-1.16,-0.296,22.891,1.05,0.598,15
modelO-pin-noStopper_1_rotateRight_left,-0.622,-0.004,4.739,-0.622,0,15
modelO-pin-noStopper_2_rotateRight_left,-0.857,0.04,21.865,-0.857,0,15
modelO-pin-noStopper_1_rotateRight_up-left,-0.271,0.01,1.219,0.497,0.283,15
modelO-pin-noStopper_2_rotateRight_up-left,-0.263,0.151,5.826,0.365,0.208,15
modelO-pin-stopper_1_noRotate_up,0.043,0.34,1.169,0,0.34,0
modelO-pin-stopper_2_noRotate_up,0.026,0.301,0,0,0.301,0
modelO-pin-stopper_1_noRotate_up-right,0.152,0.128,2.386,0.182,0.104,0
modelO-pin-stopper_2_noRotate_up-right,0.402,0.121,2.386,0.374,0.213,0
modelO-pin-stopper_1_noRotate_right,0.507,-0.018,6.995,0.507,0,0
modelO-pin-stopper_2_noRotate_right,0.641,0.043,16.927,0.641,0,0
modelO-pin-stopper_1_noRotate_down-right,0.591,-0.346,0,0.596,0.339,0
modelO-pin-stopper_2_noRotate_down-right,1.202,-0.176,38.089,1.192,0.679,0
modelO-pin-stopper_1_noRotate_down,-0.04,-0.266,0,0,-0.266,0
modelO-pin-stopper_2_noRotate_down,-0.017,-0.224,2.386,0,-0.224,0
modelO-pin-stopper_1_noRotate_down-left,-0.546,-0.382,1.169,0.583,0.332,0
modelO-pin-stopper_2_noRotate_down-left,-1.184,-0.003,41.73,1.205,0.686,0
modelO-pin-stopper_1_noRotate_left,-0.699,0.027,14.292,-0.699,0,0
modelO-pin-stopper_2_noRotate_left,-0.721,-0.061,5.906,-0.721,0,0
modelO-pin-stopper_1_noRotate_up-left,-0.211,0.171,0,0.35,0.199,0
modelO-pin-stopper_2_noRotate_up-left,-0.296,0.203,1.219,0.355,0.202,0
modelO-pin-stopper_1_noRotate_rotate-clockwise,-0.077,0.027,12.265,0,0,12.265
modelO-pin-stopper_2_noRotate_rotate-clockwise,0.147,0.048,7.005,0,0,7.005
modelO-pin-stopper_1_noRotate_rotate-counterClockwise,0.055,-0.176,16.113,0,0,16.113
modelO-pin-stopper_2_noRotate_rotate-counterClockwise,-0.03,-0.122,19.179,0,0,19.179
modelO-pin-stopper_1_rotateLeft_up,0.034,0.078,1.169,0,0.078,15
modelO-pin-stopper_2_rotateLeft_up,0.066,0.087,1.169,0,0.087,15
modelO-pin-stopper_1_rotateLeft_up-right,0.233,0.139,1.219,0.293,0.167,15
modelO-pin-stopper_2_rotateLeft_up-right,0.335,0.103,4.657,0.317,0.181,15
modelO-pin-stopper_1_rotateLeft_right,0.538,-0.132,2.338,0.538,0,15
modelO-pin-stopper_2_rotateLeft_right,0.798,0.034,15.461,0.798,0,15
modelO-pin-stopper_1_rotateLeft_down-right,0.622,-0.446,0,0.731,0.416,15
modelO-pin-stopper_2_rotateLeft_down-right,1.268,-0.128,49.536,1.315,0.749,15
modelO-pin-stopper_1_rotateLeft_down,-0.008,-0.222,2.338,0,-0.222,15
modelO-pin-stopper_2_rotateLeft_down,-0.004,-0.098,3.545,0,-0.098,15
modelO-pin-stopper_1_rotateLeft_down-left,-1.18,0.572,35.924,1.005,0.572,15
modelO-pin-stopper_2_rotateLeft_down-left,-1.324,-0.18,46.685,1.158,0.659,15
modelO-pin-stopper_1_rotateLeft_left,-0.576,0.026,7.125,-0.576,0,15
modelO-pin-stopper_2_rotateLeft_left,-0.782,-0.111,17.7,-0.782,0,15
modelO-pin-stopper_1_rotateLeft_up-left,-0.187,0.096,2.334,0.228,0.13,15
modelO-pin-stopper_2_rotateLeft_up-left,-0.13,0.135,1.169,0.301,0.171,15
modelO-pin-stopper_1_rotateRight_up,0.024,0.108,2.386,0,0.108,15
modelO-pin-stopper_2_rotateRight_up,0.012,0.17,3.801,0,0.17,15
modelO-pin-stopper_1_rotateRight_up-right,0.133,0.087,1.169,0.227,0.129,15
modelO-pin-stopper_2_rotateRight_up-right,0.307,0.198,0,0.327,0.186,15
modelO-pin-stopper_1_rotateRight_right,0.847,-0.008,13.173,0.847,0,15
modelO-pin-stopper_2_rotateRight_right,0.795,0.023,6.072,0.795,0,15
modelO-pin-stopper_1_rotateRight_down-right,1.365,-0.121,48.468,1.167,0.665,15
modelO-pin-stopper_2_rotateRight_down-right,1.126,-0.257,25.008,1.261,0.718,15
modelO-pin-stopper_1_rotateRight_down,-0.007,-0.154,2.338,0,-0.154,15
modelO-pin-stopper_2_rotateRight_down,0.077,-0.159,1.169,0,-0.159,15
modelO-pin-stopper_1_rotateRight_down-left,-0.993,-0.241,29.739,1.016,0.578,15
modelO-pin-stopper_2_rotateRight_down-left,-1.334,-0.096,50.933,1.143,0.651,15
modelO-pin-stopper_1_rotateRight_left,-0.743,0.028,9.866,-0.743,0,15
modelO-pin-stopper_2_rotateRight_left,-0.581,0.107,16.793,-0.581,0,15
modelO-pin-stopper_1_rotateRight_up-left,-0.171,0.166,2.595,0.214,0.122,15
modelO-pin-stopper_2_rotateRight_up-left,-0.183,0.205,5.956,0.253,0.144,15
modelK-pin_1_noRotate_up,0.089,0.328,1.169,0,0.328,0
modelK-pin_2_noRotate_up,0.096,0.24,1.219,0,0.24,0
modelK-pin_1_noRotate_up-right,0.184,0.195,0,0.237,0.136,0
modelK-pin_2_noRotate_up-right,0.269,0.127,5.743,0.331,0.19,0
modelK-pin_1_noRotate_right,0.845,-0.03,8.294,0.845,0,0
modelK-pin_2_noRotate_right,0.562,-0.05,3.555,0.562,0,0
modelK-pin_1_noRotate_down-right,1.242,-0.187,33.294,1.072,0.616,0
modelK-pin_2_noRotate_down-right,1.178,-0.01,40.101,1.078,0.62,0
modelK-pin_1_noRotate_down,0.02,-0.417,1.219,0,-0.417,0
modelK-pin_2_noRotate_down,0.197,-0.269,0,0,-0.269,0
modelK-pin_1_noRotate_down-left,-1.354,-0.195,37.553,1.227,0.706,0
modelK-pin_2_noRotate_down-left,-1.087,-0.117,38.66,1.062,0.611,0
modelK-pin_1_noRotate_left,-0.699,0.04,16.531,-0.699,0,0
modelK-pin_2_noRotate_left,-0.655,-0.022,17.7,-0.655,0,0
modelK-pin_1_noRotate_up-left,-0.371,0.266,3.555,0.425,0.244,0
modelK-pin_2_noRotate_up-left,-0.285,0.235,1.219,0.324,0.186,0
modelK-pin_1_noRotate_rotate-clockwise,0.068,-0.097,17.429,0,0,17.429
modelK-pin_2_noRotate_rotate-clockwise,-0.084,-0.09,32.929,0,0,32.929
modelK-pin_1_noRotate_rotate-counterClockwise,0.059,0.071,22.891,0,0,22.891
modelK-pin_2_noRotate_rotate-counterClockwise,0.136,-0.079,16.26,0,0,16.26
modelK-pin_1_rotateLeft_up,-0.004,0.148,2.045,0,0.148,15
modelK-pin_2_rotateLeft_up,-0.013,0.158,1.219,0,0.158,15
modelK-pin_1_rotateLeft_up-right,0.106,0.252,1.004,0.283,0.163,15
modelK-pin_2_rotateLeft_up-right,0.263,0.065,2.338,0.232,0.133,15
modelK-pin_1_rotateLeft_right,0.495,0.054,3.013,0.495,0,15
modelK-pin_2_rotateLeft_right,0.577,-0.113,20.556,0.577,0,15
modelK-pin_1_rotateLeft_down-right,1.049,-0.322,29.476,1.038,0.597,15
modelK-pin_2_rotateLeft_down-right,1.106,-0.273,22.62,1.042,0.599,15
modelK-pin_1_rotateLeft_down,-0.089,-0.057,4.281,0,-0.057,15
modelK-pin_2_rotateLeft_down,0.039,-0.162,1.169,0,-0.162,15
modelK-pin_1_rotateLeft_down-left,-0.862,-0.139,46.042,1.007,0.579,15
modelK-pin_2_rotateLeft_down-left,-1.304,-0.256,20.556,1.134,0.652,15
modelK-pin_1_rotateLeft_left,-0.439,-0.012,12.171,-0.439,0,15
modelK-pin_2_rotateLeft_left,-0.654,-0.029,6.961,-0.654,0,15
modelK-pin_1_rotateLeft_up-left,-0.209,0.102,1.077,0.262,0.15,15
modelK-pin_2_rotateLeft_up-left,-0.285,0.133,2.438,0.271,0.156,15
modelK-pin_1_rotateRight_up,0.009,0.066,1.169,0,0.066,15
modelK-pin_2_rotateRight_up,0.022,0.179,1.169,0,0.179,15
modelK-pin_1_rotateRight_up-right,0.141,0.182,2.388,0.361,0.208,15
modelK-pin_2_rotateRight_up-right,0.377,0.086,0.04,0.388,0.223,15
modelK-pin_1_rotateRight_right,0.839,0.102,19.885,0.839,0,15
modelK-pin_2_rotateRight_right,0.823,-0.061,17.429,0.823,0,15
modelK-pin_1_rotateRight_down-right,1.019,-0.058,21.775,0.985,0.567,15
modelK-pin_2_rotateRight_down-right,1.221,-0.121,54.535,1.117,0.642,15
modelK-pin_1_rotateRight_down,0.003,-0.093,0,0,-0.093,15
modelK-pin_2_rotateRight_down,0.038,-0.152,1.169,0,-0.152,15
modelK-pin_1_rotateRight_down-left,-0.879,-0.228,11.483,0.797,0.458,15
modelK-pin_2_rotateRight_down-left,-1.274,-0.087,32.521,1.1,0.632,15
modelK-pin_1_rotateRight_left,-0.658,0.077,5.906,-0.658,0,15
modelK-pin_2_rotateRight_left,-0.845,-0.111,15.091,-0.845,0,15
modelK-pin_1_rotateRight_up-left,-0.34,0.067,1.169,0.393,0.226,15
modelK-pin_2_rotateRight_up-left,-0.425,0.119,1.169,0.378,0.217,15
